Class-Section,"Professor, Name      ",Class Name,Location,Meeting Dates,Book Name,ISBN,CRN
ENE 725 -199,"Rodriguez, Freire Lucia     ", INDEPENDENT STUDY I,, -,,,12685
ENE 725 -208,, INDEPENDENT STUDY I,, -,,,12686
ENE 725 -210,, INDEPENDENT STUDY I,, -,,,12687
ENE 725 -211,, INDEPENDENT STUDY I,, -,,,12688
ENE 725 -214,, INDEPENDENT STUDY I,, -,,,12689
ENE 726 -188,, INDEPENDENT STUDY,, -,,,12690
ENE 726 -199,"Rodriguez, Freire Lucia     ", INDEPENDENT STUDY,, -,,,12691
ENE 726 -210,, INDEPENDENT STUDY,, -,,,12692
ENE 726 -211,, INDEPENDENT STUDY,, -,,,12693
ENE 726 -214,, INDEPENDENT STUDY,, -,,,12694
ENE 790A -181,"Bagheri, Sima      ", DOCTORAL DISSERT & RES,, -,,,12695
ENE 790A -182,, DOCTORAL DISSERT & RES,, -,,,12696
ENE 790A -188,, DOCTORAL DISSERT & RES,, -,,,12697
ENE 790A -189,, DOCTORAL DISSERT & RES,, -,,,12698
ENE 790A -198,"Zhang, Wen      ", DOCTORAL DISSERT & RES,, -,,,12699
ENE 790A -199,"Rodriguez, Freire Lucia     ", DOCTORAL DISSERT & RES,, -,,,12700
ENE 790A -210,"Axe, Lisa      ", DOCTORAL DISSERT & RES,, -,,,12701
ENE 790A -211,"Marhaba, Taha      ", DOCTORAL DISSERT & RES,, -,,,12702
ENE 790A -214,"Ding, Yuan      ", DOCTORAL DISSERT & RES,, -,,,12703
ENE 790B -182,"Boufadel, Michel      ", DOCTORAL DISSERT & RES,, -,,,15869
ENE 790B -199,"Rodriguez, Freire Lucia     ", DOCTORAL DISSERT & RES,, -,,,12704
ENE 790B -208,, DOCTORAL DISSERT & RES,, -,,,12705
ENE 790B -210,"Axe, Lisa      ", DOCTORAL DISSERT & RES,, -,,,12706
ENE 790B -211,"Marhaba, Taha      ", DOCTORAL DISSERT & RES,, -,,,12707
ENE 790B -214,, DOCTORAL DISSERT & RES,, -,,,12708
ENE 790C -191,, DOCTORAL DISSERTATION,, -,,,12709
ENE 790C -198,"Zhang, Wen      ", DOCTORAL DISSERTATION,, -,,,12710
ENE 790C -208,, DOCTORAL DISSERTATION,, -,,,12711
ENE 790C -210,"Axe, Lisa      ", DOCTORAL DISSERTATION,, -,,,12712
ENE 790C -211,, DOCTORAL DISSERTATION,, -,,,12713
ENE 790D -181,, DOCTORAL DISSERTATION,, -,,,12714
ENE 790D -188,, DOCTORAL DISSERTATION,, -,,,12715
ENE 790D -210,"Axe, Lisa      ", DOCTORAL DISSERTATION,, -,,,12716
ENE 790D -211,, DOCTORAL DISSERTATION,, -,,,12717
ENE 790D -212,, DOCTORAL DISSERTATION,, -,,,12718
ENE 790E -191,, DOCTORAL DISSERTATION & RES,, -,,,12719
ENE 790E -208,, DOCTORAL DISSERTATION & RES,, -,,,12720
ENE 790E -210,, DOCTORAL DISSERTATION & RES,, -,,,12721
ENE 790E -211,, DOCTORAL DISSERTATION & RES,, -,,,12722
ENE 790F -210,"Axe, Lisa      ", DOCTORAL DISSERTATION & RES,, -,,,12723
ENE 792 -211,,PRE-DOCTORAL RESEARCH,, -,,,12724
ENE 792 -212,,PRE-DOCTORAL RESEARCH,, -,,,12725
ENE 792C -210,,PRE-DOCTORAL RESEARCH,, -,,,12726
ENG 095 -SL2,"Pardi, Nina      ", GEN SKILLS ENG AS 2ND LN,CULM 411CULM 315,"M- 11:30 AM - 12:50 PM
W-11:30 AM - 02:20 PM",,,15569
ENG 101 -OM1,, COLLEGE COMPOSITION I,,- ,,,16036
ENG 302 -002,"Rutkoff, Rebekah      ", COMMUNICATION THEORY,CKB 223,M- 11:30 AM - 02:20 PM,,,12727
ENG 302 -HM2,"Rutkoff, Rebekah      ",COMMUNICATION THEORY - HONORS,CKB 223,M- 11:30 AM - 02:20 PM,,,12728
ENG 340 -011,, ORAL PRESENTATION,,TR- 10:00 AM - 11:20 AM,,,12734
ENG 340 -002,"Castronova, Louise      ", ORAL PRESENTATION,KUPF 202,TR- 04:00 PM - 05:15 PM,,,12729
ENG 340 -004,"Febles, Maximiliano      ", ORAL PRESENTATION,CULM 110,MR- 01:00 PM - 02:20 PM,,,12730
ENG 340 -006,"Febles, Maximiliano      ", ORAL PRESENTATION,CULM 111,MR- 10:00 AM - 11:20 AM,,,12731
ENG 340 -008,"Kramer, William      ", ORAL PRESENTATION,CULM 111,MR- 02:30 PM - 03:50 PM,,,12732
ENG 340 -010,"Raimondo, Anthony      ", ORAL PRESENTATION,CULM 110,TF- 01:00 PM - 02:20 PM,,,12733
ENG 340 -012,"Castronova, Louise      ", ORAL PRESENTATION,CULM 411,TR- 10:00 AM - 11:20 AM,,,15549
ENG 350 -002,"Ascarelli, Miriam      ", THE NEWSROOM,CKB 313,TR- 10:00 AM - 11:20 AM,,,12735
ENG 350 -HM2,"Ascarelli, Miriam      ", THE NEWSROOM,CKB 313,TR- 10:00 AM - 11:20 AM,,,12736
ENG 352 -004,"Apatoff, Benjamin      ", TECHNICAL WRITING,MALL PC39,T- 04:00 PM - 05:20 PM,,,12737
ENG 352 -006,"Egan, John      ", TECHNICAL WRITING,CKB 207,TR- 11:30 AM - 12:50 PM,,,12738
ENG 352 -008,"Delloiacono, Benjamin      ", TECHNICAL WRITING,MALL PC37,TR- 02:30 PM - 03:50 PM,,,12739
ENG 352 -010,"Slovis, Jake      ", TECHNICAL WRITING,FMH 205,TR- 02:30 PM - 03:50 PM,,,16057
ENG 352 -102,"Sandve, Eric      ", TECHNICAL WRITING,FMH 314,R- 06:00 PM - 08:50 PM,,,12740
ENG 352 -104,"Sandve, Eric      ", TECHNICAL WRITING,CKB 313,M- 06:00 PM - 08:50 PM,,,12741
ENG 352 -454,"Fleischer, Doris      ", TECHNICAL WRITING,, -,,,12742
ENG 352 -456,"Pardi, Nina      ", TECHNICAL WRITING,, -,,,12743
ENG 352 -458,"Velez, Vanessa      ", TECHNICAL WRITING,, -,,,12744
ENG 352 -460,"Pardi, Nina      ", TECHNICAL WRITING,, -,,,12745
ENG 352 -462,"Velez, Vanessa      ", TECHNICAL WRITING,, -,,,12746
ENG 352 -464,"Karnes, Jaime      ", TECHNICAL WRITING,, -,,,12747
ENG 352 -466,"Karnes, Jaime      ", TECHNICAL WRITING,, -,,,12748
ENG 352 -468,"Slovis, Jake      ", TECHNICAL WRITING,, -,,,12749
ENG 352 -SL2,"Egan, John      ", TECHNICAL WRITING,CULM 411,W- 06:00 PM - 08:50 PM,,,15567
ENG 352 -H02,"Slovis, Jake      ",TECHNICAL WRITING - HONORS,FMH 205,TR- 02:30 PM - 03:50 PM,,,12750
ENG 354 -102,"Funkhouser, Christopher      ", COMPOSING DOCUMENTS FOR THE WEB,MALL PC39,W- 06:00 PM - 08:50 PM,,,12751
ENG 490 -683,"Funkhouser, Christopher      ",CO-OP WORK EXPERIENCE I,, -,,,12752
ENG 491 -683,"Funkhouser, Christopher      ",CO-OP WORK EXPERIENCE II,, -,,,12753
ENG 496 -683,"Funkhouser, Christopher      ", SR PRJCT COMM & MEDIA,, -,,,12754
ENG 503 -002,, SPOKEN ENGLISH FOR TA'S,,M- 01:00 PM - 03:50 PM,,,12755
ENG 507 -002,"Castronova, Louise      ", ADV CONV & AMER CULTURE,CULM 407,W- 11:30 AM - 02:20 PM,,,12756
ENG 521 -002,"Livingstone, Victoria      "," TECH, WRITTEN & ORAL COM",CULM 315,R- 10:00 AM - 12:50 PM,,,12757
ENGR 101 -002,"Roman, Max      ", ANALYTICAL METH FOR ENGR APPL,MALL PC39KUPF 207KUPF 117,"F- 08:30 AM - 09:50 AM
M-02:30 PM - 03:50 PM
MW-08:30 AM - 09:50 AM",,,15098
ENGR 101 -004,"Roman, Max      ", ANALYTICAL METH FOR ENGR APPL,KUPF 117KUPF 202MALL PC40,"MW- 08:30 AM - 09:50 AM
T-08:30 AM - 09:50 AM
W-10:00 AM - 11:20 AM",,,15099
ENGR 101 -006,"Roman, Max      ", ANALYTICAL METH FOR ENGR APPL,MALL PC37KUPF 117TIER 108,"F- 08:30 AM - 09:50 AM
MW-08:30 AM - 09:50 AM
R-08:30 AM - 09:50 AM",,,15100
ENGR 210 -102,"Dorazio, Lucas      ", CAREER PLANNING SEMINAR FOR EN,KUPF 105,M- 06:00 PM - 07:10 PM,,,12758
ENGR 310 -254,"Hou, Sui-Hoi      ",CO-OP WORK EXPERIENCE I,, -,,,15723
ENGR 410 -254,"Hou, Sui-Hoi      ",CO-OP WORK EXPERIENCE II,, -,,,15724
ENR 211 -001,,ENGINEERING MECH.-STATIC,,TR- 01:00 PM - 02:20 PM,,,15775
ENR 212 -001,, ENGRING MECH II DYMANIC,,TR- 11:30 AM - 12:50 PM,,,15751
ENR 221 -001,, STRENGTH OF MATERIALS,,MW- 02:25 PM - 05:10 PM,,,15752
ENTR 410 -102,"Bandera, Cesar      ", NEW VENTURE MANAGEMENT,KUPF 108,M- 06:00 PM - 08:50 PM,,,12759
ENTR 430 -002,"Bandera, Cesar      ", ENTREPRENEURIAL STRATEGY,KUPF 211,MR- 02:30 PM - 03:50 PM,,,12760
EPS 202 -002,"Jackson, Nancy      ", SOCIETY TECHN & ENVIRONMNT,CKB 317,MW- 11:30 AM - 12:50 PM,,,12761
EPS 202 -004,, SOCIETY TECHN & ENVIRONMNT,, -,,,12762
EPS 202 -006,, SOCIETY TECHN & ENVIRONMNT,, -,,,12763
EPS 202 -102,, SOCIETY TECHN & ENVIRONMNT,, -,,,12764
EPS 202 -104,, SOCIETY TECHN & ENVIRONMNT,, -,,,12765
EPS 202 -106,, SOCIETY TECHN & ENVIRONMNT,, -,,,12766
EPS 202 -110,, SOCIETY TECHN & ENVIRONMNT,, -,,,12767
EPS 202 -452,"Qiu, Zeyuan      ", SOCIETY TECHN & ENVIRONMNT,, -,,,12768
EPS 202 -H02,"Jackson, Nancy      ","SOCIETY, TECHNOLOGY & ENVIRONMNT - HONORS",CKB 317,MW- 11:30 AM - 12:50 PM,,,12769
EPS 700B -835,"Jackson, Nancy      ", MASTER'S PROJECT,, -,,,12770
EPS 700B -843,"Qiu, Zeyuan      ", MASTER'S PROJECT,, -,,,12771
EPS 701B -835,"Jackson, Nancy      ", MASTER'S THESIS,, -,,,12772
EPS 701B -843,"Qiu, Zeyuan      ", MASTER'S THESIS,, -,,,12773
EPS 701C -835,"Jackson, Nancy      ", MASTER'S THESIS,, -,,,12774
EPS 701C -843,"Qiu, Zeyuan      ", MASTER'S THESIS,, -,,,12775
EPS 725 -835,"Jackson, Nancy      ", INDEPENDENT STUDY I,, -,,,12776
EPS 725 -843,"Qiu, Zeyuan      ", INDEPENDENT STUDY I,, -,,,12777
EPS 726 -835,"Jackson, Nancy      ", INDEPENDENT STUDY II,, -,,,12778
EPS 726 -843,"Qiu, Zeyuan      ", INDEPENDENT STUDY II,, -,,,12779
ET 101 -001,, INTRO TO ENGNR TECHNLGY,,M- 01:00 PM - 02:20 PM,,,12802
ET 101 -L59,, INTRO TO ENGNR TECHNLGY,,M- 01:00 PM - 02:20 PM,,,12803
EVSC 125 -002,"Bonchonsky, Michael      ", FUNDAMENTALS OF ENVR SCIENCES,FMH 207,TF- 04:00 PM - 05:20 PM,,,12804
EVSC 325 -002,"Bonchonsky, Michael      ", ENERGY AND ENVIRONMENT,FMH 319,WF- 10:00 AM - 11:20 AM,,,12805
EVSC 375 -002,"Li, Mengyan      ", ENVIRONMENTAL BIOLOGY,FMH 108,MW- 10:00 AM - 11:20 AM,,,12806
EVSC 381 -002,"Jackson, Nancy      ", GEOMORPHOLOGY,CKB 223,WF- 01:00 PM - 02:20 PM,,,15755
EVSC 391 -813,"Petrova, Roumiana      ", RESEARCH AND INDEPENDENT STUDY,, -,,,12807
EVSC 416 -002,"Patnaik, Pradyot      ", ENVIRONMENTAL TOXICOLOGY,CKB 219,R- 02:30 PM - 05:20 PM,,,15704
EVSC 484 -102,, ENVIRONMENTAL ANALYSIS,, -,,,12808
EVSC 591 -148,"Mitra, Somenath      ", GRADUATE WORK EXPERIENCE,, -,,,12809
EVSC 592 -148,"Mitra, Somenath      ", GRADUATE WORK EXPERIENCE,, -,,,12810
EVSC 613 -102,, ENVIR PROBLEM SOLVING,,T- 06:00 PM - 08:45 PM,,,12811
EVSC 616 -002,"Patnaik, Pradyot      ", TOXICOLOGY,CKB 219,R- 02:30 PM - 05:20 PM,,,15705
EVSC 623 -102,"Hussain, Chaudhery      ", ENVIRONMENTAL HEALTH,CKB 222,R- 02:30 PM - 05:20 PM,,,12812
EVSC 700B -130,, MASTER'S PROJECT,, -,,,12813
EVSC 700B -142,"Belfield, Kevin      ", MASTER'S PROJECT,, -,,,12814
EVSC 700B -147,"Kim, Yong      ", MASTER'S PROJECT,, -,,,12815
EVSC 700B -148,"Mitra, Somenath      ", MASTER'S PROJECT,, -,,,12816
EVSC 700B -150,"Krasnoperov, Lev      ", MASTER'S PROJECT,, -,,,12817
EVSC 700B -156,"Farinas, Edgardo      ", MASTER'S PROJECT,, -,,,12818
EVSC 701B -130,, MASTER'S THESIS,, -,,,12819
EVSC 701B -148,"Mitra, Somenath      ", MASTER'S THESIS,, -,,,12820
EVSC 701B -158,"Khalizov, Alexei      ", MASTER'S THESIS,, -,,,12821
EVSC 701B -190,, MASTER'S THESIS,, -,,,12822
EVSC 701C -130,, MASTER'S THESIS,, -,,,12823
EVSC 701C -148,"Mitra, Somenath      ", MASTER'S THESIS,, -,,,12824
EVSC 725 -130,, INDEPENDENT STUDY I,, -,,,12825
EVSC 725 -143,"Li, Mengyan      ", INDEPENDENT STUDY I,, -,,,15868
EVSC 725 -146,"Jin, Huiran      ", INDEPENDENT STUDY I,, -,,,15728
EVSC 725 -147,"Kim, Yong      ", INDEPENDENT STUDY I,, -,,,15802
EVSC 725 -148,"Mitra, Somenath      ", INDEPENDENT STUDY I,, -,,,12826
EVSC 726 -130,, INDEPENDENT STUDY II,, -,,,12827
EVSC 726 -148,"Mitra, Somenath      ", INDEPENDENT STUDY II,, -,,,12828
EVSC 790A -130,, DOCTORAL DISSERTATION,, -,,,12829
EVSC 790A -136,"Gund, Tamara      ", DOCTORAL DISSERTATION,, -,,,12830
EVSC 790A -148,"Mitra, Somenath      ", DOCTORAL DISSERTATION,, -,,,12831
EVSC 790A -156,"Farinas, Edgardo      ", DOCTORAL DISSERTATION,, -,,,12832
EVSC 790A -835,"Jackson, Nancy      ", DOCTORAL DISSERTATION,, -,,,15808
EVSC 790B -130,, DOCTORAL DISSERTATION,, -,,,12833
EVSC 790B -148,"Mitra, Somenath      ", DOCTORAL DISSERTATION,, -,,,12834
EVSC 790B -156,"Farinas, Edgardo      ", DOCTORAL DISSERTATION,, -,,,12835
EVSC 790B -835,"Jackson, Nancy      ", DOCTORAL DISSERTATION,, -,,,12836
EVSC 790B -843,"Qiu, Zeyuan      ", DOCTORAL DISSERTATION,, -,,,12837
EVSC 790C -130,, DOCT DISSERTATION & RES,, -,,,12838
EVSC 790C -148,"Mitra, Somenath      ", DOCT DISSERTATION & RES,, -,,,12839
EVSC 790C -156,"Farinas, Edgardo      ", DOCT DISSERTATION & RES,, -,,,12840
EVSC 790C -835,"Jackson, Nancy      ", DOCT DISSERTATION & RES,, -,,,12841
EVSC 790C -843,"Qiu, Zeyuan      ", DOCT DISSERTATION & RES,, -,,,12842
EVSC 790D -130,, DOCT DISSERTATION & RES,, -,,,12843
EVSC 790D -148,"Mitra, Somenath      ", DOCT DISSERTATION & RES,, -,,,12844
EVSC 790D -156,"Farinas, Edgardo      ", DOCT DISSERTATION & RES,, -,,,12845
EVSC 790D -835,"Jackson, Nancy      ", DOCT DISSERTATION & RES,, -,,,12846
EVSC 790D -843,"Qiu, Zeyuan      ", DOCT DISSERTATION & RES,, -,,,12847
EVSC 790E -130,, DOCT DISSERTATION & RES,, -,,,12848
EVSC 790E -148,"Mitra, Somenath      ", DOCT DISSERTATION & RES,, -,,,12849
EVSC 790E -156,"Farinas, Edgardo      ", DOCT DISSERTATION & RES,, -,,,12850
EVSC 790E -835,"Jackson, Nancy      ", DOCT DISSERTATION & RES,, -,,,12851
EVSC 790E -843,"Qiu, Zeyuan      ", DOCT DISSERTATION & RES,, -,,,12852
EVSC 790F -130,, DOCTORAL DISSERTATION,, -,,,12853
EVSC 790F -148,"Mitra, Somenath      ", DOCTORAL DISSERTATION,, -,,,12854
EVSC 791 -002,"Chen, Hao      ", ENVIRONMENTAL SCIENCE SEMINAR,CKB 303,T- 01:00 PM - 02:20 PM,,,12855
EVSC 792 -130,,PRE-DOCTORAL RESEARCH,, -,,,12856
EVSC 792 -143,"Li, Mengyan      ",PRE-DOCTORAL RESEARCH,, -,,,15748
EVSC 792 -148,"Mitra, Somenath      ",PRE-DOCTORAL RESEARCH,, -,,,12857
EVSC 792 -156,"Farinas, Edgardo      ",PRE-DOCTORAL RESEARCH,, -,,,12858
EVSC 792 -158,"Khalizov, Alexei      ",PRE-DOCTORAL RESEARCH,, -,,,12859
EVSC 792 -843,"Qiu, Zeyuan      ",PRE-DOCTORAL RESEARCH,, -,,,12860
EVSC 792B -130,,PRE-DOCTORAL RESEARCH,, -,,,12861
EVSC 792B -148,"Mitra, Somenath      ",PRE-DOCTORAL RESEARCH,, -,,,12862
EVSC 792B -156,"Farinas, Edgardo      ",PRE-DOCTORAL RESEARCH,, -,,,12863
EVSC 792B -158,"Khalizov, Alexei      ",PRE-DOCTORAL RESEARCH,, -,,,12864
EVSC 792B -835,"Jackson, Nancy      ",PRE-DOCTORAL RESEARCH,, -,,,12865
EVSC 792B -843,"Qiu, Zeyuan      ",PRE-DOCTORAL RESEARCH,, -,,,12866
FED 101 -004,"Yaramothu, Chang      ", BME-FUND OF ENGINEERING DESIGN I,FENS 636,R- 11:30 AM - 02:20 PM,,,12868
FED 101 -006,"D'Antonio-Bertagnolli, John Vito     ", BME-FUND OF ENGINEERING DESIGN I,FENS 636,T- 10:00 AM - 12:50 PM,,,12869
FED 101 -002,"Yaramothu, Chang      ",BME-FUNDAMENTALS OF ENGR DESIGN,FENS 636,M- 10:00 AM - 12:50 PM,,,12867
FED 101 -008,"Jaworski, Thomas      ",CE -FUND OF ENGINEERING DESIGN I,KUPF 210,TF- 10:00 AM - 11:20 AM,,,12870
FED 101 -010,, CEE-FUNDAMENTALS OF ENGR DESIGN,,MR- 02:30 PM - 03:50 PM,,,12871
FED 101 -012,"Molodetsky, Irina      ", CHE-FUND ENGINEERING DESIGN,TIER 411,R- 10:00 AM - 12:50 PM,,,12872
FED 101 -014,"Feknous, Mohammed      ", ECE FUND ENGINEERNG DESIGN I,LSEC 401LSEC 401,"W- 08:30 AM - 09:50 AM
W-10:00 AM - 11:20 AM",,,15682
FED 101 -HSS,, FUND ENGINEERNG DESIGN I,, -,,,15234
FED 101 -SCT,, FUND ENGINEERNG DESIGN I,, -,,,15960
FED 101 -032,"Borgaonkar, Ashish Dhananjay     ",GEN -FUND OF ENGINEERING DESIGN I,CKB 303MALL PC40,"M- 01:00 PM - 02:20 PM
R-01:00 PM - 02:20 PM",,,12876
FED 101 -034,"Borgaonkar, Ashish Dhananjay     ",GEN -FUND OF ENGINEERING DESIGN I,CKB 303MALL PC40,"M- 01:00 PM - 02:20 PM
R-10:00 AM - 11:20 AM",,,12877
FED 101 -036,"Borgaonkar, Ashish Dhananjay     ",GEN -FUND OF ENGINEERING DESIGN I,MALL PC37CKB 303,"F- 10:00 AM - 11:20 AM
M-01:00 PM - 02:20 PM",,,12878
FED 101 -038,"Borgaonkar, Ashish Dhananjay     ",GEN -FUND OF ENGINEERING DESIGN I,MALL PC39CKB 303,"F- 01:00 PM - 02:20 PM
M-01:00 PM - 02:20 PM",,,12879
FED 101 -024,"Moon, Swapnil      ",ME -FUND OF ENGINEERING DESIGN,ME 219,R- 01:00 PM - 03:50 PM,,,12873
FED 101 -026,"Mani, Balraj      ",ME -FUND OF ENGINEERING DESIGN,MALL PC39,R- 08:30 AM - 11:20 AM,,,12874
FED 101 -028,,ME -FUND OF ENGINEERING DESIGN,,R- 01:00 PM - 03:50 PM,,,12875
FED 101 -MAN,,ME -FUND OF ENGINEERING DESIGN,, -,,,15957
FIN 101 -0AC,, INTRO TO FINANCE,,TR- 05:15 PM - 06:35 PM,,,15758
FIN 218 -002,"Tao, Xinyuan      ", FINANCL MARKETS & INSTITUTIONS,KUPF 205,TR- 11:30 AM - 12:50 PM,,,12880
FIN 218 -102,"Fox, Wayne      ", FINANCL MARKETS & INSTITUTIONS,KUPF 205,T- 06:00 PM - 08:50 PM,,,12881
FIN 218 -HM2,"Tao, Xinyuan      ", FINANCL MARKETS & INSTITUTIONS - HONORS,KUPF 205,TR- 11:30 AM - 12:50 PM,,,12882
FIN 310 -002,"Shi, Junmin      ",DATA-DRIVEN FINANCIAL MODELING,CAB 1006,TF- 10:00 AM - 11:20 AM,,,12883
FIN 315 -002,"Tao, Xinyuan      ", FUND OF CORPORATE FINANCE,KUPF 205,MR- 10:00 AM - 11:20 AM,,,12884
FIN 315 -004,"Tamke, William      ", FUND OF CORPORATE FINANCE,FMH 203,TR- 10:00 AM - 11:20 AM,,,12885
FIN 315 -102,"Fox, Wayne      ", FUND OF CORPORATE FINANCE,WEST LECT 1,W- 06:00 PM - 08:50 PM,,,12886
FIN 315 -HM2,"Tao, Xinyuan      ",FUND OF CORPORATE FINANCE - HONORS,KUPF 205,MR- 10:00 AM - 11:20 AM,,,12887
FIN 403 -102,"Tamke, William      ", FINANCIAL STATEMENT ANALYSIS,KUPF 209,T- 06:00 PM - 08:50 PM,,,12888
FIN 416 -002,"Taylor, Stephen      ", ADVANCED CORPORATE FINANCE,KUPF 118,TR- 01:00 PM - 02:20 PM,,,12889
FIN 490 -890,"Yan, Zhipeng      ", INDEPENDENT STUDY IN FINANCE,, -,,,12890
FIN 600 -102,"Yan, Zhipeng      ", CORPORATE FINANCE I,TIER 108,F- 06:00 PM - 08:50 PM,,,12891
FIN 600 -852,"Ehrlich, Michael      ", CORPORATE FINANCE I,, -,,,12892
FIN 600 -MB4,"Ehrlich,       ", CORPORATE FINANCE I,, -,,,12893
FIN 624 -852,"Yan, Zhipeng      ", CORPORATE FINANCE II,, -,,,12894
FIN 626 -852,"Zhao, Yan      ", FINANCIAL MRKTS & INSTITUTIONS,, -,,,12895
FIN 627 -102,"Domasky, Peter      ", INTERNATIONAL FINANCE,KUPF 208,R- 06:00 PM - 08:50 PM,,,12896
FIN 650 -852,"Rapp, William      ", INVESTMNT ANALY & PRORTFLIO,, -,,,12897
FIN 725 -890,"Yan, Zhipeng      ", INDEPENDENT STUDY,, -,,,15888
FRSC 201 -002,"Fisher, David      ", INTRO TO FORENSIC SCIENCE,FMH 205,MW- 01:00 PM - 02:20 PM,,,15706
FRSH SEM -002,, FRESHMAN SEMINAR,,M- 11:30 AM - 12:50 PM,,,15101
FRSH SEM -E02,"Oquendo, Maria      ", FRESHMAN SEMINAR,CKB 214,T- 10:00 AM - 11:20 AM,,,12898
FRSH SEM -E04,"Broxton, Barry      ", FRESHMAN SEMINAR,TIER 106,T- 08:30 AM - 09:50 AM,,,12899
FRSH SEM -E06,"Richardson, Adrienne      ", FRESHMAN SEMINAR,CKB 220,T- 10:00 AM - 11:20 AM,,,12900
FRSH SEM -E08,"Gary, Steven      ", FRESHMAN SEMINAR,CKB 212,T- 10:00 AM - 11:20 AM,,,12901
FRSH SEM -E10,"Guzman, Veronica      ", FRESHMAN SEMINAR,CKB 223,W- 11:30 AM - 12:50 PM,,,15827
FRSH SEM -E12,"Igbinovia, Robert      ", FRESHMAN SEMINAR,CKB 220,M- 02:30 PM - 03:50 PM,,,15828
FRSH SEM -LC2,, FRESHMAN SEMINAR,,M- 10:00 AM - 11:20 AM,,,12902
FRSH SEM -S10,"Mongelli, Kelly      ", FRESHMAN SEMINAR,FMH 209,T- 10:00 AM - 11:20 AM,,,15854
FRSH SEM -S12,"Howard, Jasmine      ", FRESHMAN SEMINAR,CKB 206,R- 11:30 AM - 12:50 PM,,,15855
FRSH SEM -SP2,"Baldwin, Ryan      ", FRESHMAN SEMINAR,CKB 220,W- 11:30 AM - 12:50 PM,,,12903
FRSH SEM -SP4,"Vega, Nancy      ", FRESHMAN SEMINAR,CKB 220,W- 10:00 AM - 11:20 AM,,,12904
FRSH SEM -SP6,"Baldwin, Ryan      ", FRESHMAN SEMINAR,CKB 220,T- 01:00 PM - 02:20 PM,,,12905
FRSH SEM -SP8,"Lesko, Nicole      ", FRESHMAN SEMINAR,CKB 220,W- 01:00 PM - 02:20 PM,,,12906
GSND 5006 -001,, GRANTSMANSHIP SKILLS,, -,,,15745
GSND 501Q -001,, RESPONSIBLE CONDUCT OFRESEARCH,, -,,,15744
HIST 213 -002,"Morrison-Santana, Deborah      ", 20TH CENTURY WORLD,KUPF 105,MW- 08:30 AM - 09:50 AM,,,12907
HIST 213 -004,"Morrison-Santana, Deborah      ", 20TH CENTURY WORLD,KUPF 103,MW- 10:00 AM - 11:20 AM,,,12908
HIST 213 -006,"Kostopoulou, Ilektra      ", 20TH CENTURY WORLD,KUPF 203,T- 08:30 AM - 11:20 AM,,,12909
HIST 213 -008,"Kostopoulou, Ilektra      ", 20TH CENTURY WORLD,CKB 320,T- 01:00 PM - 03:50 PM,,,12910
HIST 213 -010,, 20TH CENTURY WORLD,,R- 08:30 AM - 11:20 AM,,,12911
HIST 213 -012,, 20TH CENTURY WORLD,,MR- 04:00 PM - 05:20 PM,,,12912
HIST 213 -102,"Kostopoulou, Ilektra      ", 20TH CENTURY WORLD,CULM 110,R- 06:00 PM - 09:05 PM,,,12913
HIST 213 -H02,"Kent, Scott      ",20TH CENTURY WORLD - HONORS,CULM 111,TR- 04:00 PM - 05:20 PM,,,12914
HIST 214 -H02,, HONORS TECHNOLOGY AND CULTURE IN US HISTORY,,TR- 02:30 PM - 03:50 PM,,,12917
HIST 214 -002,"Riismandel, Kyle      ", TECH & CULT IN AMER HISTORY,CKB 219,TR- 10:00 AM - 11:20 AM,,,12915
HIST 214 -004,, TECH & CULT IN AMER HISTORY,,TR- 02:30 PM - 03:50 PM,,,15872
HIST 214 -102,"Pierri, Florencia      ", TECH & CULT IN AMER HISTORY,CKB 215,M- 06:00 PM - 08:50 PM,,,12916
HIST 310 -641,"Pemberton, Stephen      ",CO-OP HISTORY,, -,,,12919
HIST 310 -372,"Petrick, Elizabeth      ",CO-OP LTC,, -,,,12918
HIST 310 -690,"Lefkovitz, Alison      ",CO-OP LTC,, -,,,12920
HIST 311 -372,"Petrick, Elizabeth      ", COOP IN LTC AND HISTORY,, -,,,12921
HIST 311 -641,"Pemberton, Stephen      ", COOP IN LTC AND HISTORY,, -,,,12922
HIST 311 -690,"Lefkovitz, Alison      ", COOP IN LTC AND HISTORY,, -,,,12923
HIST 312 -002,"Lefkovitz, Alison      ", PROF DEVELOPMENT IN LAW,CULM 307,W- 08:30 AM - 11:20 AM,,,12924
HIST 341 -002,"Riismandel, Kyle      ", THE AMERICAN EXPERIENCE,CKB 226,MW- 11:30 AM - 12:50 PM,,,12925
HIST 341 -004,"Riismandel, Kyle      ", THE AMERICAN EXPERIENCE,CKB 226,MR- 02:30 PM - 03:50 PM,,,12926
HIST 364 -002,"Kostopoulou, Ilektra      ", AMERICAN LAW IN THE WORLD,CKB 114,M- 02:30 PM - 05:20 PM,,,12927
HIST 372 -002,"Schweizer, Karl      ", THE NATION STATE AND GLOBAL ORDER,FMH 108,MW- 01:00 PM - 02:20 PM,,,12928
HIST 378 -H02,"Pemberton, Stephen      ", MEDICINE & LAW IN MODERN HIST,CKB 223,MR- 10:00 AM - 11:20 AM,,,12929
